kingdom	supergroup	division	class	salp_water	n_reads	n_reads_water	n_reads_pct
Eukaryota	Alveolata	Alveolata_X	Other	Coastal SA_Salps	3	317151	9.459216587682209e-4
Eukaryota	Alveolata	Alveolata_X	Other	SA_Non-Salps	30	387643	0.007739079513882619
Eukaryota	Alveolata	Alveolata_X	Other	SA_Salps	99	422943	0.023407409509082783
Eukaryota	Alveolata	Alveolata_X	Other	ST_Non-Salps	22	422908	0.005202077047490234
Eukaryota	Alveolata	Alveolata_X	Other	ST_Salps	46	387650	0.01186637430671998
Eukaryota	Alveolata	Apicomplexa	Other	Coastal SA_Salps	11	317151	0.0034683794154834763
Eukaryota	Alveolata	Apicomplexa	Other	ST_Non-Salps	34	422908	0.008039573618848543
Eukaryota	Alveolata	Apicomplexa	Other	ST_Salps	51	387650	0.013156197600928673
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	657	317151	0.20715684327024037
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	70	387643	0.018057852199059445
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	6	422908	0.0014187482856791549
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	99	387650	0.02553850122533213
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	382	317151	0.12044735788315346
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	246	387643	0.06346045201383747
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	257	422943	0.060764689331659356
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	501	422908	0.11846548185420942
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	2228	387650	0.5747452598993938
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	52	317151	0.01639597541864916
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	37	422943	0.008748223755919828
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	33	317151	0.010405138246450429
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	2	387643	5.159386342588413e-4
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	27	422943	0.006383838957022578
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	2	422908	4.729160952263849e-4
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	72	317151	0.0227021198104373
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	50	387643	0.01289846585647103
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	28	422943	0.006620277436912302
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	20	422908	0.00472916095226385
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	13	387650	0.0033535405649426026
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	989	317151	0.31183884017392344
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	2830	387643	0.7300531674762604
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	1154	422943	0.27285000579274277
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	486	422908	0.11491861114001155
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	1645	387650	0.42435186379466017
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	111	317151	0.03499910137442417
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	29	387643	0.007481110196753198
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	80	422943	0.01891507839117801
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	445	422908	0.10522383118787065
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	114	387650	0.02940797110795821
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	201	317151	0.0633767511374708
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	1159	387643	0.2989864385529985
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	203	422943	0.04799701141761419
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	525	422908	0.12414047499692606
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	617	387650	0.15916419450535277
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	89	317151	0.02806234254345722
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	7	422908	0.0016552063332923473
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	89	387650	0.022958854636914744
Eukaryota	Alveolata	Ciliophora	Spirotrichea	Coastal SA_Salps	14319	317151	4.514884077300718
Eukaryota	Alveolata	Ciliophora	Spirotrichea	SA_Non-Salps	11468	387643	2.9583921288401958
Eukaryota	Alveolata	Ciliophora	Spirotrichea	SA_Salps	19023	422943	4.49776920294224
Eukaryota	Alveolata	Ciliophora	Spirotrichea	ST_Non-Salps	12961	422908	3.0647327551145875
Eukaryota	Alveolata	Ciliophora	Spirotrichea	ST_Salps	19858	387650	5.122662195279247
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Coastal SA_Salps	89914	317151	28.35053334216194
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	SA_Non-Salps	137167	387643	35.38487732269124
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	SA_Salps	130919	422943	30.954289348682916
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	ST_Non-Salps	151280	422908	35.77137344292375
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	ST_Salps	148291	387650	38.25383722430027
Eukaryota	Alveolata	Dinoflagellata	Other	Coastal SA_Salps	269	317151	0.08481764206955046
Eukaryota	Alveolata	Dinoflagellata	Other	SA_Non-Salps	2	387643	5.159386342588413e-4
Eukaryota	Alveolata	Dinoflagellata	Other	SA_Salps	160	422943	0.03783015678235602
Eukaryota	Alveolata	Dinoflagellata	Other	ST_Non-Salps	42	422908	0.009931237999754084
Eukaryota	Alveolata	Dinoflagellata	Other	ST_Salps	14	387650	0.0036115052237843414
Eukaryota	Alveolata	Dinoflagellata	Other	Coastal SA_Salps	142	317151	0.04477362518169579
Eukaryota	Alveolata	Dinoflagellata	Other	SA_Non-Salps	9	387643	0.0023217238541647857
Eukaryota	Alveolata	Dinoflagellata	Other	SA_Salps	380	422943	0.08984662235809554
Eukaryota	Alveolata	Dinoflagellata	Other	ST_Non-Salps	60	422908	0.014187482856791549
Eukaryota	Alveolata	Dinoflagellata	Other	ST_Salps	650	387650	0.16767702824713016
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Coastal SA_Salps	47289	317151	14.910563107163465
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	SA_Non-Salps	107215	387643	27.65818033603083
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	SA_Salps	77075	422943	18.22349583750056
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	ST_Non-Salps	125641	422908	29.708825560169117
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	ST_Salps	96255	387650	24.830388236811558
Eukaryota	Amoebozoa	Lobosa	Other	SA_Non-Salps	96	387643	0.024765054444424377
Eukaryota	Apusozoa	Apusomonadidae	Other	SA_Non-Salps	46	387643	0.011866588587953348
Eukaryota	Apusozoa	Apusomonadidae	Other	SA_Salps	12	422943	0.002837261758676701
Eukaryota	Apusozoa	Apusomonadidae	Other	ST_Non-Salps	21	422908	0.004965618999877042
Eukaryota	Apusozoa	Apusomonadidae	Other	ST_Salps	67	387650	0.01728363214239649
Eukaryota	Apusozoa	Hilomonadea	Other	SA_Non-Salps	36	387643	0.009286895416659143
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Non-Salps	6	387643	0.0015478159027765236
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	2	422908	4.729160952263849e-4
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	9	317151	0.0028377649763046625
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Non-Salps	5	387643	0.0012898465856471032
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	6	317151	0.0018918433175364418
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	Coastal SA_Salps	1484	317151	0.46791591387067993
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	SA_Non-Salps	9778	387643	2.5224239828914747
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	SA_Salps	21136	422943	4.99736371094923
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	ST_Non-Salps	303	422908	0.07164678842679732
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	ST_Salps	98	387650	0.02528053656649039
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Coastal SA_Salps	64219	317151	20.248714334812124
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	SA_Non-Salps	21008	387643	5.419419414254868
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	SA_Salps	17281	422943	4.08589337097434
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	ST_Non-Salps	26156	422908	6.184796693370663
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	ST_Salps	32498	387650	8.383335483038824
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	6	422908	0.0014187482856791549
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	517	317151	0.1630138325277234
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Non-Salps	614	387643	0.15839316071746426
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Salps	1020	422943	0.2411672494875196
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	89	422908	0.02104476623757413
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Salps	91	387650	0.02347478395459822
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	17	317151	0.005360222733019918
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Non-Salps	5	387643	0.0012898465856471032
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	1154	422908	0.2728725869456241
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Salps	251	387650	0.0647491293692764
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	31	317151	0.009774523807271616
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Non-Salps	109	387643	0.028118655567106847
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	26	422908	0.006147909237943005
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Salps	571	387650	0.14729782019863277
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	14	317151	0.0044143010742516975
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Salps	479	422943	0.11325403186717832
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	2740	422908	0.6478950504601473
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Salps	945	387650	0.24377660260544304
Eukaryota	Archaeplastida	Chlorophyta	Other	Coastal SA_Salps	65	317151	0.02049496927331145
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Non-Salps	227	387643	0.05855903498837848
Eukaryota	Archaeplastida	Chlorophyta	Other	SA_Salps	159	422943	0.037593718302466286
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Non-Salps	879	422908	0.20784662385199618
Eukaryota	Archaeplastida	Chlorophyta	Other	ST_Salps	128	387650	0.03301947633174255
Eukaryota	Hacrobia	Centroheliozoa	Other	Coastal SA_Salps	28	317151	0.008828602148503395
Eukaryota	Hacrobia	Centroheliozoa	Other	SA_Non-Salps	50	387643	0.01289846585647103
Eukaryota	Hacrobia	Centroheliozoa	Other	SA_Salps	275	422943	0.0650205819696744
Eukaryota	Hacrobia	Centroheliozoa	Other	ST_Non-Salps	17	422908	0.0040197868094242716
Eukaryota	Hacrobia	Centroheliozoa	Other	ST_Salps	40	387650	0.010318586353669548
Eukaryota	Hacrobia	Cryptophyta	Other	Coastal SA_Salps	2248	317151	0.7088106296369868
Eukaryota	Hacrobia	Cryptophyta	Other	SA_Non-Salps	2767	387643	0.7138011004971069
Eukaryota	Hacrobia	Cryptophyta	Other	SA_Salps	956	422943	0.22603518677457718
Eukaryota	Hacrobia	Cryptophyta	Other	ST_Non-Salps	7983	422908	1.8876445940961155
Eukaryota	Hacrobia	Cryptophyta	Other	ST_Salps	3426	387650	0.8837869211917968
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	3	387650	7.738939765252159e-4
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	1506	317151	0.4748526727016468
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	3940	387643	1.0163991094899172
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	638	422943	0.1508477501696446
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	740	422908	0.17497895523376242
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	1726	387650	0.445247001160841
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	25	317151	0.007882680489735174
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	24	387643	0.006191263611106094
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	55	422943	0.013004116393934879
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	139	422908	0.03286766861823375
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	26	387650	0.006707081129885205
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	223	317151	0.07031350996843774
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	1558	387643	0.40191619608763735
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	92	422943	0.02175234014985471
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	312	422908	0.07377491085531605
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	310	317151	0.09774523807271615
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	43	387643	0.011092680636565088
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	204	422943	0.048233449897503916
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	768	422908	0.18159978056693182
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	52	387650	0.01341416225977041
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	20	422908	0.00472916095226385
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coastal SA_Salps	16475	317151	5.194686442735479
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	SA_Non-Salps	46218	387643	11.922825899087561
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	SA_Salps	42392	422943	10.023100039485227
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	ST_Non-Salps	30196	422908	7.14008720572796
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	ST_Salps	34399	387650	8.873726299496969
Eukaryota	Hacrobia	Katablepharidophyta	Other	Coastal SA_Salps	655	317151	0.20652622883106153
Eukaryota	Hacrobia	Katablepharidophyta	Other	SA_Non-Salps	1907	387643	0.49194748776580516
Eukaryota	Hacrobia	Katablepharidophyta	Other	SA_Salps	2966	422943	0.7012765313529247
Eukaryota	Hacrobia	Katablepharidophyta	Other	ST_Non-Salps	1636	422908	0.38684536589518287
Eukaryota	Hacrobia	Katablepharidophyta	Other	ST_Salps	1079	387650	0.27834386689023605
Eukaryota	Hacrobia	Picozoa	Other	Coastal SA_Salps	2628	317151	0.8286273730809615
Eukaryota	Hacrobia	Picozoa	Other	SA_Non-Salps	1404	387643	0.3621889212497066
Eukaryota	Hacrobia	Picozoa	Other	SA_Salps	3909	422943	0.9242380178889354
Eukaryota	Hacrobia	Picozoa	Other	ST_Non-Salps	2927	422908	0.6921127053638143
Eukaryota	Hacrobia	Picozoa	Other	ST_Salps	7359	387650	1.898361924416355
Eukaryota	Hacrobia	Telonemia	Other	Coastal SA_Salps	356	317151	0.11224937017382888
Eukaryota	Hacrobia	Telonemia	Other	SA_Non-Salps	596	387643	0.15374971300913468
Eukaryota	Hacrobia	Telonemia	Other	SA_Salps	1888	422943	0.446395850031801
Eukaryota	Hacrobia	Telonemia	Other	ST_Non-Salps	2873	422908	0.6793439707927019
Eukaryota	Hacrobia	Telonemia	Other	ST_Salps	2383	387650	0.6147297820198633
Eukaryota	Opisthokonta	Choanoflagellida	Other	Coastal SA_Salps	1047	317151	0.33012665891010906
Eukaryota	Opisthokonta	Choanoflagellida	Other	SA_Non-Salps	4213	387643	1.086824733066249
Eukaryota	Opisthokonta	Choanoflagellida	Other	SA_Salps	970	422943	0.22934532549303333
Eukaryota	Opisthokonta	Choanoflagellida	Other	ST_Non-Salps	1890	422908	0.44690570998893375
